Departament,Cdig,Tama,P1,P2,P3,P4,P5,P6,P7,P8,Robo
6,7730,PEQUEÑA,1,0,0,0,0,0,0,0,0
6,4100,GRANDE,1,0,0,0,0,0,0,0,0
6,7730,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,7730,PEQUEÑA,0,1,0,0,0,0,0,1,0
6,4530,PEQUEÑA,0,0,0,0,0,0,0,1,0
6,4540,MICRO,1,0,0,0,0,0,0,0,1
6,4661,MICRO,1,0,0,0,0,0,0,0,0
6,4390,PEQUEÑA,1,0,0,1,0,0,0,0,0
6,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,4923,MEDIANA,1,0,0,0,0,0,0,0,0
6,7110,PEQUEÑA,1,0,0,0,0,0,0,0,0
6,5610,PEQUEÑA,0,1,0,0,0,0,0,0,1
6,4620,GRANDE,1,0,1,0,0,0,1,1,0
6,6190,PEQUEÑA,1,1,0,1,0,0,0,1,0
6,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,4630,GRANDE,0,1,0,0,1,1,0,1,0
6,4663,PEQUEÑA,0,0,0,0,0,0,0,0,1
6,4100,PEQUEÑA,1,1,0,0,0,0,0,0,0
6,4510,MEDIANA,0,1,0,0,0,0,0,0,0
6,4759,PEQUEÑA,1,0,0,0,0,0,0,1,0
6,6810,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,5610,PEQUEÑA,0,0,0,0,0,0,0,0,0
6,4923,MICRO,0,0,0,0,0,0,0,0,1
6,4661,PEQUEÑA,0,1,0,0,1,0,0,1,1
7,5320,GRANDE,0,0,0,0,0,0,0,0,0
7,6190,PEQUEÑA,0,1,1,1,0,0,0,0,0
7,2511,PEQUEÑA,0,1,1,0,0,0,0,0,0
7,7120,GRANDE,0,1,1,0,0,0,0,1,0
7,2011,GRANDE,0,1,0,0,0,0,0,0,0
7,7020,PEQUEÑA,0,1,0,0,0,0,0,0,0
7,2511,GRANDE,0,1,0,0,0,0,0,1,0
7,510,PEQUEÑA,1,0,0,0,0,0,0,1,0
7,5224,MEDIANA,1,1,1,1,0,0,0,0,0
7,4799,PEQUEÑA,1,1,0,0,1,0,0,0,0
7,4669,GRANDE,0,0,0,0,0,0,0,0,0
7,4322,MICRO,0,0,0,0,0,0,0,0,0
7,5110,GRANDE,0,0,1,0,1,0,0,0,0
7,5210,GRANDE,1,1,1,0,0,0,0,0,0
7,4921,PEQUEÑA,0,0,0,1,0,0,0,0,0
7,4923,MEDIANA,0,1,1,1,0,1,0,1,0
7,5120,PEQUEÑA,0,0,0,0,0,0,0,0,0
7,4540,GRANDE,0,0,0,0,0,0,0,1,0
7,4690,GRANDE,0,1,1,0,0,0,1,1,0
7,5110,GRANDE,0,1,1,1,1,0,0,0,0
7,5610,MICRO,0,0,0,0,0,0,1,0,0
7,5229,PEQUEÑA,1,0,1,1,0,0,0,0,0
7,9609,PEQUEÑA,0,0,0,0,0,0,0,0,0
7,5210,GRANDE,0,0,0,0,0,1,0,0,0
7,4630,PEQUEÑA,0,0,0,0,1,0,0,0,0
7,2816,MEDIANA,0,1,0,0,0,0,0,0,0
7,4630,MEDIANA,0,1,0,1,0,0,0,0,0
7,3830,PEQUEÑA,1,0,0,0,0,0,0,0,0
7,4719,MICRO,1,0,0,0,0,0,0,0,0
7,4520,PEQUEÑA,1,1,1,1,0,0,0,1,0
7,1811,MICRO,1,0,0,0,0,0,0,0,0
7,1010,PEQUEÑA,0,1,0,0,0,0,0,0,0
7,4540,GRANDE,0,0,0,0,0,0,0,0,0
7,4210,GRANDE,1,1,1,0,0,0,0,0,0
7,8299,GRANDE,0,1,1,0,0,0,0,0,0
7,5229,PEQUEÑA,0,0,1,1,0,0,0,1,0
7,5120,GRANDE,0,1,0,0,0,0,0,1,0
7,8299,PEQUEÑA,0,0,0,0,1,1,1,1,0
7,5110,GRANDE,1,1,1,0,0,0,0,0,0
7,2220,GRANDE,0,1,1,1,0,0,1,0,0
7,311,PEQUEÑA,0,0,0,0,0,0,0,0,1
7,6499,PEQUEÑA,0,1,0,1,0,0,0,0,0
7,9312,PEQUEÑA,0,0,0,0,0,0,0,0,1
7,4773,GRANDE,0,0,0,0,0,0,0,1,0
7,4690,MEDIANA,0,1,1,1,0,0,0,0,1
7,5320,MICRO,0,1,0,0,0,0,0,0,0
7,4663,PEQUEÑA,0,1,0,0,0,0,0,0,0
7,4690,GRANDE,1,1,0,1,0,1,0,0,0
7,2399,GRANDE,0,0,1,0,0,0,0,1,0
7,8510,MICRO,0,0,1,1,0,0,0,0,0
7,4100,PEQUEÑA,0,1,1,1,0,0,0,1,0
7,1030,GRANDE,0,1,0,0,0,0,0,0,0
7,4630,MEDIANA,0,1,1,1,0,0,0,0,0
7,8010,MEDIANA,0,1,1,1,0,0,0,0,0
7,7020,PEQUEÑA,0,1,1,1,0,0,0,1,0
7,4690,PEQUEÑA,0,1,1,0,0,0,0,1,0
7,5229,MEDIANA,1,1,0,1,0,0,1,0,0
7,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
7,5210,GRANDE,1,1,1,1,1,1,0,0,1
7,1079,MEDIANA,1,1,1,0,0,0,0,0,0
7,4630,MICRO,0,1,0,1,0,0,1,0,1
7,4390,MEDIANA,0,1,0,0,0,0,0,1,0
8,6190,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,7110,PEQUEÑA,0,0,0,0,0,0,0,1,0
8,4649,GRANDE,0,1,0,0,0,0,0,0,0
8,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,7912,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,5510,PEQUEÑA,0,1,1,0,0,0,0,1,0
8,9312,PEQUEÑA,0,0,0,0,0,0,1,0,0
8,4630,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,5510,PEQUEÑA,0,1,1,1,0,0,0,0,1
8,4510,MEDIANA,0,1,1,1,0,0,0,1,0
8,4721,GRANDE,1,1,1,1,1,1,0,1,0
8,4661,PEQUEÑA,0,0,0,0,0,0,0,0,1
8,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,5110,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,7110,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,2511,PEQUEÑA,1,0,0,0,0,0,0,0,0
8,5610,MICRO,0,1,0,0,0,0,0,0,0
8,9609,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,4659,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,5210,GRANDE,0,1,0,1,0,1,0,0,0
8,6209,PEQUEÑA,0,1,0,0,0,0,0,0,0
8,4923,MICRO,0,0,0,0,0,0,0,0,0
8,4661,PEQUEÑA,0,1,0,1,0,0,0,0,0
8,6810,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,5510,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,1071,PEQUEÑA,0,0,0,0,0,0,0,0,1
8,1061,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,8522,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,4510,GRANDE,0,0,0,0,0,0,0,0,0
8,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
8,4100,MEDIANA,0,0,0,0,0,0,0,0,0
8,8521,MICRO,0,0,0,0,0,0,0,0,0
8,4661,MEDIANA,0,0,0,0,0,0,0,0,0
9,7110,MICRO,0,1,0,0,0,0,0,0,0
9,5610,PEQUEÑA,0,0,0,0,0,0,0,0,1
9,3600,PEQUEÑA,1,1,1,0,0,0,0,0,0
9,4741,PEQUEÑA,0,1,0,0,0,0,0,0,0
9,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
9,4690,PEQUEÑA,1,1,0,0,0,0,0,0,1
9,4100,MICRO,0,0,0,0,0,0,0,0,0
9,6190,PEQUEÑA,0,0,0,0,0,0,0,0,0
9,4630,MICRO,1,0,0,0,0,0,0,0,0
9,1811,MICRO,0,0,0,0,0,0,0,1,0
9,1811,MICRO,1,0,0,0,0,0,0,0,0
10,4390,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4721,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4730,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4721,PEQUEÑA,0,0,0,0,0,0,0,1,1
10,4690,GRANDE,0,0,0,0,0,0,0,0,1
10,8299,PEQUEÑA,0,0,0,0,0,0,0,1,0
10,4730,PEQUEÑA,0,0,0,0,0,0,0,0,1
10,7110,PEQUEÑA,0,0,0,0,0,0,0,0,1
10,8510,PEQUEÑA,0,1,0,0,0,0,0,0,0
10,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4100,GRANDE,0,0,0,0,0,0,0,0,0
10,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4510,GRANDE,0,0,0,0,0,0,0,0,0
10,6910,PEQUEÑA,0,0,0,1,0,0,0,1,0
10,1610,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,1622,MICRO,0,0,0,0,0,0,0,1,0
10,5610,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4730,PEQUEÑA,0,0,0,0,0,0,0,1,0
10,4752,MICRO,0,0,0,0,0,0,0,0,1
10,4752,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
10,3510,MICRO,0,0,0,0,0,0,0,0,0
10,4663,PEQUEÑA,0,0,0,0,0,0,0,1,0
10,4663,PEQUEÑA,1,1,0,0,0,0,0,1,0
10,5610,MICRO,0,1,0,0,0,0,0,1,0
11,4630,GRANDE,0,0,0,0,0,1,0,0,1
11,729,PEQUEÑA,0,0,0,0,0,0,1,0,0
11,1030,GRANDE,0,1,1,0,0,0,0,0,0
11,311,MICRO,0,0,0,0,0,0,0,0,0
11,8610,PEQUEÑA,1,1,0,0,0,0,0,0,1
11,4799,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,6499,GRANDE,1,1,0,0,0,0,0,0,0
11,9411,PEQUEÑA,0,0,0,1,0,0,0,0,1
11,8521,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,4923,PEQUEÑA,0,0,0,0,0,0,0,0,1
11,4690,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
11,9200,MEDIANA,0,1,1,0,0,0,0,0,0
11,7730,PEQUEÑA,0,0,1,0,0,0,0,0,0
11,5510,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,7110,PEQUEÑA,0,0,0,0,0,0,1,0,0
